,Id,Label,Interval,Giant_Component,cluster_eigen,cluster_kmeans,cluster_GN,hashtags,gruppo
311,2166592992,ZuzAntony,,1,2,1,1,@matteosalvinimi,1
312,2955103529,TerlizziGerardo,,1,1,1,1,@matteosalvinimi,1
313,1890600458,Silvy6701,,1,1,1,1,@matteosalvinimi,1
314,585699885,raffaele_zanoli,,1,1,1,1,@matteosalvinimi,1
315,1258361335240425474,Elena63623458,,1,1,1,1,@matteosalvinimi,1
316,396864128,IreneAntoniazzi,,1,2,1,1,@matteosalvinimi,1
317,343442484,tuscolo,,1,1,1,1,@matteosalvinimi,1
318,1401911906,marco_moggio,,1,1,1,1,@matteosalvinimi,1
319,1402153917123809284,Quellochenonsi1,,0,0,0,0,@matteosalvinimi,1
320,273897097,gael99,,1,2,1,1,@matteosalvinimi,1
321,1315234951927869441,Esterin62237731,,1,1,1,1,@matteosalvinimi,1
322,984109345104449538,TerzoTempo54,,1,1,1,1,@matteosalvinimi,1
323,1412396750015537156,Essere_Ignoto,,1,1,1,1,@matteosalvinimi,1
324,1407948418836803585,PietroSiffi,,1,2,1,1,@matteosalvinimi,1
325,1425739625474236416,NinoSantangelo7,,1,1,1,1,@matteosalvinimi,1
326,1089107530247221249,Mikepub1,,1,1,1,1,@matteosalvinimi,1
327,132237488,ambra208,,1,1,1,1,@matteosalvinimi,1
328,471435689,HannaNikye,,1,2,2,1,@matteosalvinimi,1
329,82083043,BuIISitting,,1,2,2,1,@matteosalvinimi,1
330,1248365893681283073,GMartinelli76,,1,1,1,1,@matteosalvinimi,1
331,1407830436945014787,AChierchini,,1,2,1,1,@matteosalvinimi,1
332,1337734677340282885,Swiety000,,1,2,1,1,@matteosalvinimi,1
333,1020380156194631680,DamatoRicardo,,1,1,1,1,@matteosalvinimi,1
334,1428767360,MaurizioFuochi,,1,2,1,1,@matteosalvinimi,1
335,1248557329882271744,Titti14760140,,1,1,1,1,@matteosalvinimi,1
336,1433735493150257175,hondama2021,,1,1,1,1,@matteosalvinimi,1
337,3155682418,ChiodiDonatella,,1,1,1,1,@matteosalvinimi,1
338,977434731523559424,vecchietta73,,1,1,1,1,@matteosalvinimi,1
339,1094253615420706816,frances88451672,,1,2,2,1,@matteosalvinimi,1
340,1455571620018393094,tint_adree,,1,1,1,1,@matteosalvinimi,1
341,376346903,51rolando,,1,1,1,1,@matteosalvinimi,1
342,826540340349919232,giovannella58,,1,1,1,1,@matteosalvinimi,1
343,1044694002073849856,essegiovanna,,0,0,0,0,@matteosalvinimi,1
344,1292914455597260803,potentegiorgio,,1,1,1,1,@matteosalvinimi,1
345,1228114681,robertaguarducc,,1,1,1,1,@matteosalvinimi,1
346,249593744,annac82,,1,2,1,1,@matteosalvinimi,1
347,585968039,Yi_Benevolence,,1,2,1,1,@matteosalvinimi,1
348,1047220678414491650,mario_ciardi,,1,1,1,1,@matteosalvinimi,1
349,1096126365215178755,nuvolar97330681,,1,1,1,1,@matteosalvinimi,1
350,1241349438620209152,ConsueloBerni,,1,1,1,1,@matteosalvinimi,1
351,1042763174,SCaronti,,1,1,1,1,@matteosalvinimi,1
352,1412698450240626690,lacapraswag,,0,0,0,0,@matteosalvinimi,1
353,799007315034800128,EURybor,,1,1,1,1,@matteosalvinimi,1
354,229160327,marcoranieri72,,1,2,2,1,@matteosalvinimi,1
355,1255171750079406081,maryberti2,,1,1,1,1,@matteosalvinimi,1
356,1205465052003930112,MiamiLnm,,1,1,1,1,@matteosalvinimi,1
357,1442174951096664064,moni_do71,,1,1,1,1,@matteosalvinimi,1
358,1223188405368082432,Wally98754040,,1,1,1,1,@matteosalvinimi,1
359,1418841815554351107,AleB36178648,,1,2,1,1,@matteosalvinimi,1
360,736657903764013056,leonardiross1,,1,1,1,1,@matteosalvinimi,1
361,1461304529362771973,Aurora68934704,,1,1,1,1,@matteosalvinimi,1
362,761516052970889220,JesGloss,,1,1,1,1,@matteosalvinimi,1
363,1311687600,BerardiLina,,1,1,1,1,@matteosalvinimi,1
364,1433103620413788164,Maurofabio31,,1,2,1,1,@matteosalvinimi,1
365,870620564444119040,gatta_pantera,,1,1,1,1,@matteosalvinimi,1
366,1032926207938109443,Rodolfo51163075,,1,1,1,1,@matteosalvinimi,1
367,817439542550679552,LauradAutunno,,1,1,1,1,@matteosalvinimi,1
368,2761402156,kiuspo73,,1,1,1,1,@matteosalvinimi,1
369,1217493838731804672,ItaliaJoseph,,1,1,1,1,@matteosalvinimi,1
370,1468581991306395650,Anti_UE_Patriot,,1,1,1,1,@matteosalvinimi,1
371,1935290473,FraterVentus,,1,1,1,1,@matteosalvinimi,1
372,1150070907429371905,salvinithebest,,1,1,1,1,@matteosalvinimi,1
373,2573730586,Massi_Dubai,,1,1,1,1,@matteosalvinimi,1
374,716353562020855810,Andrea_D74,,1,1,1,1,@matteosalvinimi,1
375,392197028,marco061066,,1,1,1,1,@matteosalvinimi,1
376,429279647,mariomariov1,,1,1,1,2,@matteosalvinimi,1
377,394680267,PAOLAMALACRIDA,,1,1,1,1,@matteosalvinimi,1
378,1475180817206939658,MariarosariaOr8,,1,1,1,1,@matteosalvinimi,1
379,1366505333523443715,Anna302478978,,1,1,1,1,@matteosalvinimi,1
380,1365392220262715395,ticino_notizie,,1,1,1,1,@matteosalvinimi,1
381,1081275371356602368,PaoloTomasello2,,0,0,0,0,@matteosalvinimi,1
382,1398362292916473861,claudiostefane1,,1,1,1,1,@matteosalvinimi,1
383,2427311741,clabellocchi,,1,1,1,1,@matteosalvinimi,1
384,970625407,nobiletti,,1,1,1,1,@matteosalvinimi,1
385,1451062138643091456,giampaolofiacc1,,1,1,1,1,@matteosalvinimi,1
386,3342581884,teocorbe,,1,1,1,1,@matteosalvinimi,1
387,1406983825096335365,renarddiana1,,1,1,1,1,@matteosalvinimi,1
388,870581343729700864,PavoncelloA70,,1,1,1,1,@matteosalvinimi,1
389,1040715474,umbo70,,1,1,1,1,@matteosalvinimi,1
390,1367806057146417158,florio_emanuele,,1,1,1,1,@matteosalvinimi,1
391,1222496838999257093,risetta3,,1,1,1,1,@matteosalvinimi,1
392,3293203413,VercesiErnesto,,1,1,1,1,@matteosalvinimi,1
393,3023594218,faustomaroccia,,1,1,1,1,@matteosalvinimi,1
394,2530856924,sergionebg,,1,1,1,1,@matteosalvinimi,1
395,255555303,Lemerignan,,1,1,1,1,@matteosalvinimi,1
396,2995398629,giampaolo_baio,,1,1,1,2,@matteosalvinimi,1
397,1184807557380091905,FreddiRossetto,,1,1,1,1,@matteosalvinimi,1
398,1033112978734964736,Gionata73175592,,1,1,1,1,@matteosalvinimi,1
399,1062583370,UBrignone,,1,1,1,1,@matteosalvinimi,1
400,1178520270,18_zuliani,,1,1,1,1,@matteosalvinimi,1
401,1124949319352758273,SapignoliSimona,,1,1,1,1,@matteosalvinimi,1
402,1151825766000287745,Oriana62711197,,1,1,1,1,@matteosalvinimi,1
403,117360683,magico122,,0,0,0,0,@matteosalvinimi,1
404,1164476557123080194,Marco02839896,,1,1,1,1,@matteosalvinimi,1
405,537221457,sconsoladdolo2,,1,1,1,1,@matteosalvinimi,1
406,1166400933183545344,2rMarzia,,1,1,1,1,@matteosalvinimi,1
407,3599438193,lemataf_yann,,1,1,1,1,@matteosalvinimi,1
408,1294641249446756355,Mary35999509,,1,1,1,1,@matteosalvinimi,1
409,2180409071,berettoni_eric,,1,1,1,1,@matteosalvinimi,1
410,983713555735248896,yakafokon774,,1,1,1,1,@matteosalvinimi,1
411,1023898490664091648,Minabree2,,0,0,0,0,@matteosalvinimi,1
412,1411086007244668929,AngelaRosa2311,,1,1,1,1,@matteosalvinimi,1
413,1468235024780640268,EstaticoGennaro,,1,1,1,1,@matteosalvinimi,1
414,1473919595799003137,RenzoDios1,,1,1,1,1,@matteosalvinimi,1
415,1465431451550294016,rnt142536,,1,1,1,1,@matteosalvinimi,1
416,915191390,paolo_solia,,1,1,1,1,@matteosalvinimi,1
417,753694909,Peppezappulla,,1,1,1,1,@matteosalvinimi,1
