Source,Target,Type,Kind,Id,Label,Interval,Weight
174643719,722641382,Directed,,74,,,1.0
1090357716609101830,1094718444837265408,Directed,,75,,,1.0
975761831905169409,330349571,Directed,,76,,,1.0
1448250438566957062,1384446301,Directed,,77,,,1.0
1356583343098314753,1399499338452242433,Directed,,78,,,1.0
493455308,425039950,Directed,,79,,,1.0
1290588940731326465,722641382,Directed,,80,,,1.0
1466477062651326471,722641382,Directed,,81,,,1.0
1010831009569542145,1399499338452242433,Directed,,82,,,1.0
1055485253450645504,1112474438065377280,Directed,,83,,,1.0
999183445,1032326690264018944,Directed,,84,,,1.0
236055365,1112474438065377280,Directed,,85,,,1.0
1466477062651326471,2495050574,Directed,,86,,,1.0
1322543941,2330388670,Directed,,87,,,1.0
1367518213815341061,1399499338452242433,Directed,,88,,,1.0
1466477062651326471,2330388670,Directed,,89,,,1.0
1228466690,1112474438065377280,Directed,,90,,,1.0
240626745,1401952436760330248,Directed,,91,,,1.0
1401952436760330248,1401952436760330248,Directed,,92,,,1.0
1466477062651326471,1106966297236172801,Directed,,93,,,1.0
1420711554270511107,1196394905196777472,Directed,,94,,,1.0
252184604,1112474438065377280,Directed,,95,,,1.0
1324129711195381763,1399499338452242433,Directed,,96,,,1.0
2956358817,1000835549870075906,Directed,,97,,,1.0
1466477062651326471,1094718444837265408,Directed,,98,,,1.0
207259950,138736601,Directed,,99,,,1.0
2163623162,1112474438065377280,Directed,,100,,,1.0
770206242824413184,330349571,Directed,,101,,,1.0
2956358817,1147561443065249792,Directed,,102,,,1.0
1364225080859926540,1094718444837265408,Directed,,103,,,1.0
1065446190,1200818228777357312,Directed,,104,,,1.0
1456739846,346161795,Directed,,105,,,1.0
3397089436,1384446301,Directed,,106,,,1.0
1417882325908656129,1094718444837265408,Directed,,107,,,1.0
781954997806370822,1106966297236172801,Directed,,108,,,1.0
1456739846,722641382,Directed,,109,,,1.0
1445109657614311430,1269002722264653831,Directed,,110,,,1.0
1432021980455309317,330349571,Directed,,111,,,1.0
447896469,1106966297236172801,Directed,,112,,,1.0
438694136,330349571,Directed,,113,,,1.0
1432941587324092418,734134273,Directed,,114,,,1.0
1450506859480326145,722641382,Directed,,115,,,1.0
2475941455,425039950,Directed,,116,,,1.0
1450506859480326145,1200818228777357312,Directed,,117,,,1.0
1200387273453457408,734134273,Directed,,118,,,1.0
1001748711729434624,408880700,Directed,,119,,,1.0
1041831000,1296134026282115077,Directed,,120,,,1.0
1001748711729434624,1296134026282115077,Directed,,121,,,1.0
971153258260717568,138736601,Directed,,122,,,1.0
1473977401071841286,763485613,Directed,,123,,,1.0
1225916131640270849,133342361,Directed,,124,,,1.0
1225916131640270849,4055079687,Directed,,125,,,1.0
1225916131640270849,269018901,Directed,,126,,,1.0
1408300345307115521,777997130,Directed,,127,,,1.0
