Source,Target,Type,Kind,Id,Label,Interval,user_id_retweet,weight
1452918292260302854,22038676,Directed,,4413,,,22038676,0.4237536656891496
912000926826815491,1203597456031834113,Directed,,4414,,,1203597456031834113,0.028592375366568914
1228466690,1203597456031834113,Directed,,4415,,,1203597456031834113,0.028592375366568914
378456413,1203597456031834113,Directed,,4416,,,1203597456031834113,0.028592375366568914
908731428124397568,1203597456031834113,Directed,,4417,,,1203597456031834113,0.028592375366568914
2463073418,22038676,Directed,,4418,,,22038676,0.4237536656891496
334637087,22038676,Directed,,4419,,,22038676,0.4237536656891496
104787756,22038676,Directed,,4420,,,22038676,0.4237536656891496
544393751,22038676,Directed,,4421,,,22038676,0.4237536656891496
1163587021,22038676,Directed,,4422,,,22038676,0.4237536656891496
1456610808041988097,22038676,Directed,,4423,,,22038676,0.4237536656891496
789581389,1203597456031834113,Directed,,4424,,,1203597456031834113,0.028592375366568914
1399116526683398147,22038676,Directed,,4425,,,22038676,0.4237536656891496
2888006819,1203597456031834113,Directed,,4426,,,1203597456031834113,0.028592375366568914
825377039318401024,1203597456031834113,Directed,,4427,,,1203597456031834113,0.028592375366568914
1042482833007239168,444225252,Directed,,4428,,,444225252,0.02932551319648094
159786218,444225252,Directed,,4429,,,444225252,0.02932551319648094
931169269181833218,22038676,Directed,,4430,,,22038676,0.4237536656891496
375155848,22038676,Directed,,4431,,,22038676,0.4237536656891496
1080150091825061888,1203597456031834113,Directed,,4432,,,1203597456031834113,0.028592375366568914
46245613,22038676,Directed,,4433,,,22038676,0.4237536656891496
744650508506382336,22038676,Directed,,4434,,,22038676,0.4237536656891496
9850552,1203597456031834113,Directed,,4435,,,1203597456031834113,0.028592375366568914
1161931901315244035,1203597456031834113,Directed,,4436,,,1203597456031834113,0.028592375366568914
1344253512939687936,1203597456031834113,Directed,,4437,,,1203597456031834113,0.028592375366568914
157939641,22038676,Directed,,4438,,,22038676,0.4237536656891496
1386786871439659011,22038676,Directed,,4439,,,22038676,0.4237536656891496
436956088,1203597456031834113,Directed,,4440,,,1203597456031834113,0.028592375366568914
1201093538869600262,22038676,Directed,,4441,,,22038676,0.4237536656891496
1154376875449507841,22038676,Directed,,4442,,,22038676,0.4237536656891496
50286652,1087731393633939462,Directed,,4443,,,1087731393633939462,0.17155425219941348
852255189826502656,1087731393633939462,Directed,,4444,,,1087731393633939462,0.17155425219941348
772050153968721920,1203597456031834113,Directed,,4445,,,1203597456031834113,0.028592375366568914
941625485200674816,22038676,Directed,,4446,,,22038676,0.4237536656891496
290623473,22038676,Directed,,4447,,,22038676,0.4237536656891496
307245966,22038676,Directed,,4448,,,22038676,0.4237536656891496
1302485901667438599,22038676,Directed,,4449,,,22038676,0.4237536656891496
1457412068970221568,22038676,Directed,,4450,,,22038676,0.4237536656891496
1215631734,22038676,Directed,,4451,,,22038676,0.4237536656891496
853916380369956866,1203597456031834113,Directed,,4452,,,1203597456031834113,0.028592375366568914
1190010012447457290,1203597456031834113,Directed,,4453,,,1203597456031834113,0.028592375366568914
1316005306363764737,1203597456031834113,Directed,,4454,,,1203597456031834113,0.028592375366568914
1062904195,22038676,Directed,,4455,,,22038676,0.4237536656891496
989180703714807809,22038676,Directed,,4456,,,22038676,0.4237536656891496
971421779318239233,22038676,Directed,,4457,,,22038676,0.4237536656891496
1237807159754264580,22038676,Directed,,4458,,,22038676,0.4237536656891496
291902195,22038676,Directed,,4459,,,22038676,0.4237536656891496
3546308429,22038676,Directed,,4460,,,22038676,0.4237536656891496
406877049,1203597456031834113,Directed,,4461,,,1203597456031834113,0.028592375366568914
14449982,22038676,Directed,,4462,,,22038676,0.4237536656891496
1235554272,22038676,Directed,,4463,,,22038676,0.4237536656891496
3344401349,3024638457,Directed,,4464,,,3024638457,0.008064516129032258
2279301,22038676,Directed,,4465,,,22038676,0.4237536656891496
210371208,22038676,Directed,,4466,,,22038676,0.4237536656891496
114853604,22038676,Directed,,4467,,,22038676,0.4237536656891496
598603124,22038676,Directed,,4468,,,22038676,0.4237536656891496
828961751379169281,22038676,Directed,,4469,,,22038676,0.4237536656891496
1472680231790075907,22038676,Directed,,4470,,,22038676,0.4237536656891496
142219798,22038676,Directed,,4471,,,22038676,0.4237536656891496
62480710,22038676,Directed,,4472,,,22038676,0.4237536656891496
1063899966,22038676,Directed,,4473,,,22038676,0.4237536656891496
703781156,22038676,Directed,,4474,,,22038676,0.4237536656891496
555934549,3024638457,Directed,,4475,,,3024638457,0.008064516129032258
49936756,1203597456031834113,Directed,,4476,,,1203597456031834113,0.028592375366568914
459446024,22038676,Directed,,4477,,,22038676,0.4237536656891496
324046456,22038676,Directed,,4478,,,22038676,0.4237536656891496
284236172,22038676,Directed,,4479,,,22038676,0.4237536656891496
4846503729,4846703536,Directed,,4480,,,4846703536,0.0
351598215,22038676,Directed,,4481,,,22038676,0.4237536656891496
3147783877,22038676,Directed,,4482,,,22038676,0.4237536656891496
518481765,22038676,Directed,,4483,,,22038676,0.4237536656891496
447230841,22038676,Directed,,4484,,,22038676,0.4237536656891496
3131027758,22038676,Directed,,4485,,,22038676,0.4237536656891496
3807059417,22038676,Directed,,4486,,,22038676,0.4237536656891496
573938762,22038676,Directed,,4487,,,22038676,0.4237536656891496
1064467395501268992,22038676,Directed,,4488,,,22038676,0.4237536656891496
2746264131,22038676,Directed,,4489,,,22038676,0.4237536656891496
347727501,22038676,Directed,,4490,,,22038676,0.4237536656891496
244585724,22038676,Directed,,4491,,,22038676,0.4237536656891496
139358551,22038676,Directed,,4492,,,22038676,0.4237536656891496
490605997,22038676,Directed,,4493,,,22038676,0.4237536656891496
720704702946656256,22038676,Directed,,4494,,,22038676,0.4237536656891496
1383848080869531662,22038676,Directed,,4495,,,22038676,0.4237536656891496
973333425859055616,22038676,Directed,,4496,,,22038676,0.4237536656891496
1239043448566681603,1203597456031834113,Directed,,4497,,,1203597456031834113,0.028592375366568914
439253059,1203597456031834113,Directed,,4498,,,1203597456031834113,0.028592375366568914
1262754920077258756,22038676,Directed,,4499,,,22038676,0.4237536656891496
1251540779153137676,22038676,Directed,,4500,,,22038676,0.4237536656891496
1159085702296088578,22038676,Directed,,4501,,,22038676,0.4237536656891496
171941344,22038676,Directed,,4502,,,22038676,0.4237536656891496
28125576,1203597456031834113,Directed,,4503,,,1203597456031834113,0.028592375366568914
1431278293,22038676,Directed,,4504,,,22038676,0.4237536656891496
971323446507589632,22038676,Directed,,4505,,,22038676,0.4237536656891496
2765449475,22038676,Directed,,4506,,,22038676,0.4237536656891496
