Id,Label,timeset,interval,colour,giant_component,cluster_eigen,cluster_kmeans,cluster_gn,cluster_mod,hashtags,gruppo,componentnumber,modularity_class
1080528002,WSalvaterra,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1454870791951167490,sfratazz,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1035805719789010945,fabiospes1,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2450132407,FlavioFoxes,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1000959834,Hrotbertha,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1409830264977645570,Luckyma89652325,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
763310989232177152,LoredanaNavarra,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1393255723015057408,Enrico26659481,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2666051378,severino_nappi,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
810235254870937600,ferillo2,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1445146782753861635,MaleficaAvita,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
489331719,eowyn962010,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
279178016,ventoc,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
4615107617,Lidia550449671,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1192428185192935424,Giovann04712430,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1106654538512154624,VincenzaSMF,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
607226144,MarcoTognini,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1080242342337134592,G96831072,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1473628468051157001,PonzioPilato72,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1422305016619151362,cribertolla,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1015331362969210880,lomartirecarmen,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
949928755,MurelliElena,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1473951785136148488,dominiquezero0,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
198061659,keniars40,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,4,0
1435124359711150082,Ivy69639273,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1056454514,MimmoFiori55,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1058696390,liafriggi,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1370605363,Eriador,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
475540015,michele_apicell,,,"#99cccc",1,1,1,2,"#aaaacc",@matteosalvinimi,1,0,2
1436429267785633792,LaurentGasnier9,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1405888434917593098,MATTE1973S,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1408300345307115521,Patrizi34819700,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2436207123,dolores20943592,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
1032521732962299904,AlexD83778610,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1313354509968642048,Mauro26739276,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
222603056,storm19737,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
3290366427,manuscod,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1423166823684509696,GianandreaGorla,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1077644550,annarigel,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1361277830,KettyFogliani,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1008863797,neranimo,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1439860744502272000,UrsinaMelcher,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
121466746,Pinx67,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
4869405783,avv_gr,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
3017911991,angelorp2611,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1158758131448590336,Piero42395724,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1150751883566493696,MariaLu91149151,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
973846730,sissyturtlexxx,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1473745938984353799,cacciaramarri,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
