Id,Label,Interval,Colour
1365350315122446338,PapagniGrace,,#fb1239
716377897,DavidMarzoli,,#fb1239
1224441067929505792,Giovy84260980,,#fb1239
1419805096184057859,BarioniGloria,,#fb1239
1010807990,PaperinikEdonna,,#fb1239
1475122883164876805,EvoluzSpiritual,,#fb1239
289828856,MassSorr,,#fb1239
200888646,Tony_Skid,,#fb1239
1152192533063241728,2009Lelle,,#fb1239
1042906497129361408,Tribonacci1,,#aaaacc
3426504598,MenegazziMarina,,#aaaacc
1472872885383573506,Emmeeffecieffe,,#fb1239
1111915132102344706,Mari67805383,,#fb1239
1323993129180139522,francom1505,,#aaaacc
1425194624033902594,lord_john56,,#fb1239
1017112352158863365,ashtroman_,,#fb1239
543703916,EmilianoSilv74,,#fb1239
141529750,LauraCarrese,,#fb1239
1032227404029280256,PaolaAnna8,,#fb1239
4774539388,xiana44698880,,#fb1239
1412500075,soniabetz1,,#fb1239
1166451475821846530,PatriziaPiva8,,#fb1239
1360978420084137986,Laura51478782,,#aaaacc
1474443337038012421,Paleocristianoo,,#fb1239
1353304938215067649,emded6,,#fb1239
1139149651532242944,TheUnwriters,,#fb1239
2954518204,mejustme1908,,#aaaacc
1186406702,ninoBertolino,,#fb1239
2178600592,ITestini,,#fb1239
941772138008268801,angeleri_mauro,,#fb1239
752845778,flyingscotsmann,,#fb1239
1199127172990021633,iti_angelo,,#fb1239
1445099449290838019,nadiafabbri1,,#fb1239
1389495200607883266,soloiopaolo,,#fb1239
856920898846240771,FloresMarisol64,,#aaaacc
1164038954,supercap70,,#fb1239
2240528067,AriSolosamp,,#fb1239
1369640371697942528,RegeoMaria,,#aaaacc
1264836030349402113,davide76542705,,#fb1239
1020502986,MichelottiMarco,,#fb1239
328473338,ladyrosmarino,,#aaaacc
507118418,Gabriele885,,#aaaacc
268307040,RobertaSR7,,#fb1239
1445406745627697160,_V1111V_,,#fb1239
82083043,BuIISitting,,#fb1239
2430808297,pier2856,,#fb1239
790929273418878976,f1marinacci,,#fb1239
955127843255717890,markbel69,,#fb1239
4866617129,nikname22,,#fb1239
1325034228128616448,DavidGiachi,,#fb1239
1400039468455845890,EsoticoFabio,,#aaaacc
1474067374546501639,Nonna_Abelarda,,#fb1239
460987353,gambarieimmobil,,#fb1239
381717202,mark_dive,,#fb1239
756557389025927169,marco_car67,,#fb1239
1454518436785176578,Cinzia232,,#fb1239
1290588940731326465,BR1SANT,,#fb1239
3352779975,SaettaMcQueen36,,#aaaacc
1473977401071841286,ilbaro67,,#fb1239
2473782071,lello977,,#aaaacc
1471927075,omoragno1926,,#fb1239
919417542,giovannilegena,,#fb1239
2815401849,mirella2spa,,#fb1239
962088641198788609,FabioDiEgidio2,,#fb1239
29201900,charliecarla,,#aaaacc
2320478792,SaraSenzacca,,#aaaacc
230787831,GordonGekko1970,,#fb1239
2732447529,nicolagatti79,,#fb1239
531490926,GianluigiPaesan,,#aaaacc
742289950322917376,BarbarellaLeoni,,#fb1239
1125440833099112448,Nicola23453287,,#fb1239
1431651335867338766,Paola5GG5,,#aaaacc
118374031,Giuseppe_Ciraci,,#fb1239
1402925585433874433,ElisaB_75,,#fb1239
4019910797,FinoGinofino,,#fb1239
1144913517365145600,Soldier12692838,,#fb1239
1408365643490119680,Secchicandi2,,#fb1239
1417845132964007937,kalabalik2912,,#aaaacc
3862333281,972b974e1b0440e,,#aaaacc
3254081877,simone11472,,#fb1239
1236255995984297986,sara53054424,,#aaaacc
978197286076510208,Dear_Inanna_Z,,#fb1239
269885887,euglander,,#fb1239
1361833561972686849,Urbano___VIII,,#fb1239
346692486,76Pier,,#fb1239
1447131849482964993,imnico96,,#aaaacc
1464199037993857029,Giordan48430646,,#fb1239
1449324167862575107,Claudia20448488,,#fb1239
1249412358637666304,Andrea__Rossi,,#fb1239
1300884946878427137,Nicolet84520681,,#fb1239
3039450687,MaxZo_,,#fb1239
2200290805,valezuppina,,#fb1239
898620354045911040,giulianopessot,,#fb1239
257517267,MGNapolitano,,#fb1239
425803153,SilvanoSalviato,,#fb1239
2535751839,MarySpes,,#aaaacc
1174780873075544069,rosaroccaforte,,#fb1239
2252899982,JPCK72,,#fb1239
3034922873,emilace75,,#fb1239
1460355787063271431,marcizzi6,,#fb1239
1238838550482821120,muspygbabka,,#fb1239
2635093335,ilarysotgiu1,,#fb1239
2227488127,leopadanofe,,#aaaacc
2173072229,DoctorWho744,,#aaaacc
1094614208107499520,laura_pi79,,#aaaacc
1472508570109460480,betty_zeta,,#fb1239
283416650,barbarab1974,,#fb1239
1395576606,STEVE_241,,#fb1239
83906632,SergioTroisi,,#fb1239
501801081,gvesvs,,#fb1239
1026475254577807366,vendutoschifoso,,#fb1239
1094718444837265408,Satirev4,,#fb1239
1250177731,EleEsse77,,#aaaacc
1008767717674020864,LoneroTony,,#fb1239
447010531,Lelecottero,,#aaaacc
799007315034800128,EURybor,,#aaaacc
2610479660,davideilardo,,#fb1239
1427635120761147400,FraCarp98,,#fb1239
1221013968,LUCABRAMBILLA24,,#fb1239
4171327882,denyocchisecchi,,#fb1239
761199432,Guido73242927,,#fb1239
1437697795499118596,kajacaprari,,#aaaacc
1285866977693700096,Obsolete_LG,,#aaaacc
4523308156,MrTrix007,,#aaaacc
1275154423,isladecoco7,,#aaaacc
1094253615420706816,frances88451672,,#fb1239
1327518346586296321,Giorgia92876831,,#fb1239
1000138698032320517,cristia97265138,,#aaaacc
488990940,RBottos,,#aaaacc
1449079389627592705,BavuttiRoberta,,#fb1239
1467454042381115393,LiccioneMarco,,#fb1239
2433235432,fabiocrivel,,#aaaacc
1020277135280431105,MauQuei,,#fb1239
1436670330953773062,Salvato27591666,,#aaaacc
192458316,aimone71,,#fb1239
