Id,Label,Interval,Colour,Giant_Component,cluster_eigen,cluster_kmeans,Colour_GN,Cluster_mod
131126639,Gandalf1948,,#99cccc,1,1,1,1,#aaaacc
1135536177602281477,animalialand,,#99cccc,1,1,1,1,#aaaacc
1417503924718870529,Pierpaolo_Ast,,#99cccc,1,1,1,1,#aaaacc
830834103033458689,francoliver2,,#99cccc,1,1,1,1,#aaaacc
1323946597315731456,LucasMGian,,#99cccc,1,1,1,1,#aaaacc
1228368040187899906,PettazziLino,,#99cccc,1,1,1,1,#aaaacc
1635753799,GVNVNCR,,#99cccc,1,1,1,1,#aaaacc
750419127655858176,Peter_Italy,,#99cccc,0,0,0,0,#aaaacc
1459980423988142085,FernanaBot,,#99cccc,0,0,0,0,#aaaacc
372518181,Rizzi2Rizzi,,#99cccc,0,0,0,0,#aaaacc
883025867714297857,MissDarcy60,,#99cccc,1,1,1,1,#aaaacc
1874501234,Marco_Mandorli,,#99cccc,1,1,1,1,#aaaacc
1033993296203472896,LuigiDonfrance1,,#99cccc,1,1,1,1,#aaaacc
584852671,peppe3680,,#99cccc,1,1,1,1,#aaaacc
2174691850,mirellaladini,,#99cccc,1,1,1,1,#aaaacc
736231985186779136,Silvergio2377,,#99cccc,1,1,1,1,#aaaacc
1166765394977275904,Laura64135537,,#99cccc,1,1,1,1,#aaaacc
917818009,silentman68,,#99cccc,1,1,1,1,#aaaacc
1162441321598128128,Giusy29037023,,#99cccc,1,1,1,1,#aaaacc
827199467304673280,capand69,,#99cccc,1,1,1,1,#aaaacc
751688594545410048,carlettona,,#99cccc,1,1,1,1,#aaaacc
278743750,Marinotoma,,#99cccc,1,2,1,1,#aaaacc
1364918233,petregiamp,,#99cccc,1,1,1,1,#aaaacc
1156772688,Kikkablues01,,#99cccc,1,1,1,1,#aaaacc
2535751839,MarySpes,,#99cccc,1,2,1,1,#aaaacc
1191558961,RizziRes,,#99cccc,1,1,1,1,#aaaacc
1282936026,malubor1,,#99cccc,1,1,1,1,#aaaacc
572125780,Paolo_ADP10,,#99cccc,1,1,1,1,#aaaacc
890248801428135937,Gino77979871,,#99cccc,1,1,1,1,#aaaacc
1476297420757782536,SteLett82,,#99cccc,1,1,1,1,#aaaacc
