Id,Label,Interval,Colour
540066448,mbbelluco,,1
1435590896502849538,Pv42453019Pv,,2
4192961459,Net2Ayurveda,,3
71593119,DossierTibet,,3
1423166823684509696,GianandreaGorla,,2
1923305407,mgmand500,,1
1032653803575828480,Rosanna531,,2
2452494826,PseudoEly,,2
824021536747225091,SergioFerrara10,,1
1348990498183258117,GaribaldiPaolo,,3
1326530442577768448,Giordano218,,1
38903873,ddinno,,2
1344383673261584386,simoncol2,,3
1159915009,darianichele,,1
1375740452385742849,1solocapitan,,3
465860666,ZiaGabriella1,,3
1241659242404352000,CoronaLupo,,4
422706269,_Anahys_,,3
1434078813063876608,rutilibus,,3
1388269877291634688,Renata91493146,,2
96576495,razorblack66,,3
1345129094619537408,Fabiostefano85,,2
2233536302,robertoluciani6,,2
1316658380,effelina7155,,2
1349169332773916673,zZ__z__47557646,,1
999280766,eleaugusta,,2
1360341200990068741,LucaViaggio,,2
487914632,isolano781,,1
1433103620413788164,Maurofabio31,,2
464855487,vlasec_ciotto,,2
2385799301,annadelbello1,,3
1121931434,VogelMonica,,2
1617818378,VannaRicci,,2
854240012149424128,sabrinaEx5S,,1
265679140,virtualex71,,2
464822421,CiaoGrosso,,2
1203087605849608192,sostengoi40,,1
2155461192,Venere781,,2
722641382,LucianoCesarett,,2
1209249979744817152,AlbertoDazzani,,1
1432030614249685002,LaGrace645,,1
2944136181,ITedesca,,2
276588654,glavutan_Mrki,,#aaaacc
1266769243,BattDe,,1
1069926132231925760,hodordue,,2
145802194,mrcrto,,2
1471183075359043588,Ale12951421,,1
3103748006,peppiniellopz,,1
1296509725,pensivin,,1
1391958840,yellowbeppe,,2
1391766884052254720,CarlaKaky,,1
1114817509910355973,Wolf09722148,,1
914924414332014593,granati_mauro,,2
995657337393287168,Luciano06815942,,2
1364430734,dania1964,,2
1029467541624770561,Giandom84354994,,1
1121951191,rikercommander,,2
1370300701,anto_galli4,,2
1429096741945716741,ioeilmiomare,,1
1247958207231860738,IvanoKaramazov,,1
1302616789348691968,OrtigiaP,,1
2999932538,intoccabile_l,,2
1330818619375280128,ELEONORACASSAN9,,2
742397759991480320,manu_etoile,,2
396883287,MilellaMarco,,1
3252394091,RosaniFlavia,,2
972450439638802432,Alessio90505441,,1
1163431789555306498,ermarluck,,1
1392633826573266945,MartinezDaqui,,#aaaacc
1106449976,frankfranfranco,,2
910883562311835648,The_EuropeanGuy,,1
1428767360,MaurizioFuochi,,2
1384530429869531143,Gaby45yo1,,2
1196018762593525765,LuisaPistini,,2
199620260,filo_78,,2
2800101452,Stibba_Maria,,2
2326140878,lorenzotonion,,2
898297518,Hibbing59,,2
305255857,Rosyfree74,,2
357048439,nex1982,,2
845585171491540996,grandejacko,,2
2216051760,1GROSSI,,2
502018244,StefaniaVaselli,,2
1238143563017474049,Flavr7,,1
400504464,Giovidip,,2
1365350315122446338,PapagniGrace,,2
716377897,DavidMarzoli,,2
1224441067929505792,Giovy84260980,,2
1419805096184057859,BarioniGloria,,2
1010807990,PaperinikEdonna,,2
1475122883164876805,EvoluzSpiritual,,5
289828856,MassSorr,,2
200888646,Tony_Skid,,2
1152192533063241728,2009Lelle,,2
1042906497129361408,Tribonacci1,,2
3426504598,MenegazziMarina,,2
1472872885383573506,Emmeeffecieffe,,2
1111915132102344706,Mari67805383,,2
1323993129180139522,francom1505,,4
1425194624033902594,lord_john56,,2
1017112352158863365,ashtroman_,,2
543703916,EmilianoSilv74,,2
141529750,LauraCarrese,,2
1032227404029280256,PaolaAnna8,,2
4774539388,xiana44698880,,#aaaacc
1412500075,soniabetz1,,2
1166451475821846530,PatriziaPiva8,,2
1360978420084137986,Laura51478782,,1
1474443337038012421,Paleocristianoo,,1
1353304938215067649,emded6,,2
1139149651532242944,TheUnwriters,,1
2954518204,mejustme1908,,5
1186406702,ninoBertolino,,2
2178600592,ITestini,,2
941772138008268801,angeleri_mauro,,2
752845778,flyingscotsmann,,1
1199127172990021633,iti_angelo,,2
1445099449290838019,nadiafabbri1,,2
1389495200607883266,soloiopaolo,,2
856920898846240771,FloresMarisol64,,1
1164038954,supercap70,,2
2240528067,AriSolosamp,,2
1369640371697942528,RegeoMaria,,2
1264836030349402113,davide76542705,,2
1020502986,MichelottiMarco,,2
328473338,ladyrosmarino,,2
507118418,Gabriele885,,2
268307040,RobertaSR7,,2
1445406745627697160,_V1111V_,,2
82083043,BuIISitting,,2
2430808297,pier2856,,2
790929273418878976,f1marinacci,,#aaaacc
955127843255717890,markbel69,,2
4866617129,nikname22,,2
1325034228128616448,DavidGiachi,,2
1400039468455845890,EsoticoFabio,,2
1474067374546501639,Nonna_Abelarda,,2
460987353,gambarieimmobil,,2
381717202,mark_dive,,2
756557389025927169,marco_car67,,2
1454518436785176578,Cinzia232,,3
1290588940731326465,BR1SANT,,2
3352779975,SaettaMcQueen36,,1
1473977401071841286,ilbaro67,,2
2473782071,lello977,,1
1471927075,omoragno1926,,2
919417542,giovannilegena,,2
2815401849,mirella2spa,,2
962088641198788609,FabioDiEgidio2,,2
29201900,charliecarla,,2
2320478792,SaraSenzacca,,1
230787831,GordonGekko1970,,2
2732447529,nicolagatti79,,2
531490926,GianluigiPaesan,,1
742289950322917376,BarbarellaLeoni,,2
1125440833099112448,Nicola23453287,,2
1431651335867338766,Paola5GG5,,1
118374031,Giuseppe_Ciraci,,2
1402925585433874433,ElisaB_75,,2
4019910797,FinoGinofino,,2
1144913517365145600,Soldier12692838,,2
1408365643490119680,Secchicandi2,,3
